order_line_id,order_id,order_date,customer_id,customer_cpf,customer_gender,customer_birthdate,brand_name,region_name,store_name,product_category,payment_method,health_plan_name,fulfillment_type,booking_channel,channel_group,campaign_non_direct,revenue_amount,quantity,market_segment,is_excluded,order_status
OL_0000001,ORD_0000001,2024-10-15,CUST_00000,66048764759,M,1950-08-25,VitaShop Pro,North,Store_004,Supplement - Protein,vitashop_wallet,,HOME_DELIVERY,IN_STORE,,,138.86,3,B2C,False,COMPLETED
OL_0000002,ORD_0000002,2025-02-26,CUST_00000,66048764759,M,1950-08-25,VitaShop Pro,North,Store_004,Service - Personal Trainer,credit_card,,HOME_DELIVERY,DIGITAL,Direct,,121.15,3,B2C,False,COMPLETED
OL_0000003,ORD_0000003,2023-05-19,CUST_00000,66048764759,M,1950-08-25,VitaShop Pro,North,Store_004,Service - Nutritionist,vitashop_wallet,,HOME_DELIVERY,CALL_CENTER,,,286.11,3,B2C,False,COMPLETED
OL_0000004,ORD_0000004,2024-08-01,CUST_00001,29141777631,M,1983-05-04,VitaShop Premium,Midwest,Store_008,Service - Personal Trainer,credit_card,,IN_STORE_PICKUP,CALL_CENTER,,,274.48,2,B2C,False,COMPLETED
OL_0000005,ORD_0000005,2025-01-15,CUST_00001,29141777631,M,1983-05-04,VitaShop Premium,Midwest,Store_008,Supplement - Protein,health_plan,PlanB,IN_STORE_PICKUP,DIGITAL,Unidentified,,119.36,1,B2C,False,COMPLETED
OL_0000006,ORD_0000006,2022-05-20,CUST_00001,29141777631,M,1983-05-04,VitaShop Premium,Midwest,Store_008,Supplement - Vitamins,health_plan,PlanC,HOME_DELIVERY,DIGITAL,Social,new_year_promo,100.32,1,PREMIUM,False,COMPLETED
OL_0000007,ORD_0000007,2025-09-12,CUST_00001,29141777631,M,1983-05-04,VitaShop Premium,Midwest,Store_008,Supplement - Protein,vitashop_wallet,,IN_STORE_PICKUP,DIGITAL,Social,new_year_promo,88.82,1,B2C,False,COMPLETED
OL_0000008,ORD_0000008,2025-11-30,CUST_00002,01152449390,N/A,1998-10-26,VitaShop Pro,Northeast,Store_022,Device - Wearable,health_plan,PlanC,IN_STORE_PICKUP,IN_STORE,,,746.73,1,B2C,False,COMPLETED
OL_0000009,ORD_0000009,2023-12-27,CUST_00003,39825979190,F,2000-03-19,VitaShop Premium,North,Store_019,Device - Wearable,vitashop_wallet,,IN_STORE_PICKUP,DIGITAL,Email,new_year_promo,344.98,2,PREMIUM,False,COMPLETED
OL_0000010,ORD_0000010,2025-08-23,CUST_00003,39825979190,F,2000-03-19,VitaShop Premium,North,Store_019,Supplement - Protein,credit_card,,HOME_DELIVERY,DIGITAL,Email,,102.78,1,B2C,False,COMPLETED
OL_0000011,ORD_0000011,2024-06-07,CUST_00003,39825979190,F,2000-03-19,VitaShop Premium,North,Store_019,Device - Monitor,health_plan,PlanA,IN_STORE_PICKUP,CALL_CENTER,,,747.45,5,B2C,False,COMPLETED
OL_0000012,ORD_0000012,2024-08-31,CUST_00004,34167211068,M,2005-05-04,VitaShop Premium,Midwest,Store_003,Supplement - Protein,vitashop_wallet,,HOME_DELIVERY,IN_STORE,,,93.26,5,B2C,False,COMPLETED
OL_0000013,ORD_0000013,2023-10-07,CUST_00004,34167211068,M,2005-05-04,VitaShop Premium,Midwest,Store_003,Supplement - Vitamins,credit_card,,HOME_DELIVERY,CALL_CENTER,,,58.91,1,B2C,False,COMPLETED
OL_0000014,ORD_0000014,2024-03-07,CUST_00004,34167211068,M,2005-05-04,VitaShop Premium,Midwest,Store_003,Service - Nutritionist,health_plan,PlanB,IN_STORE_PICKUP,DIGITAL,Unidentified,,215.21,1,B2C,False,COMPLETED
OL_0000015,ORD_0000015,2022-06-05,CUST_00004,34167211068,M,2005-05-04,VitaShop Premium,Midwest,Store_003,Service - Nutritionist,vitashop_wallet,,HOME_DELIVERY,CALL_CENTER,,,88.0,3,B2C,False,CANCELLED
OL_0000016,ORD_0000016,2024-10-01,CUST_00004,34167211068,M,2005-05-04,VitaShop Premium,Midwest,Store_003,Device - Monitor,credit_card,,HOME_DELIVERY,CALL_CENTER,,,270.73,4,B2C,False,COMPLETED
OL_0000017,ORD_0000017,2025-06-20,CUST_00004,34167211068,M,2005-05-04,VitaShop Premium,Midwest,Store_003,Supplement - Vitamins,vitashop_wallet,,IN_STORE_PICKUP,CALL_CENTER,,,40.05,3,B2C,False,COMPLETED
